id,lien,nom,Gamme PC,image_url,boutique,Taille de l'écran,Résolution d'écrans,Processeur,Référence Processeur,Mémoire,Disque Dur,Type Disque Dur,Carte Graphique,Système d'exploitation,Gamer,prix
X1504VA-NJ814W-16G,https://www.mytek.tn/pc-portable-asus-vivobook-15-x1504va-i3-13e-gen-16g-512go-ssd-silver.html,PC Portable ASUS Vivobook 15 X1504VA i3 13è Gén 16G 512Go SSD - Silver,VIVOBOOK 15 X1504VA,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-asus-vivobook-15-x1504va-i3-13e-gen-16g-512go-ssd-silver_1.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i3,Intel® Core™ i3-1315U,16 Go,512Go SSD,SSD,Graphique Intégrée,Windows 11 Famille,Non,"1 209,000 DT"
X1504VA-NJ518W-16G,https://www.mytek.tn/pc-portable-asus-vivobook-15-x1504va-i3-13e-gen-16go-512go-ssd-bleu.html,PC Portable ASUS Vivobook 15 X1504VA i3 13è Gén 16Go 512Go SSD - Bleu,VIVOBOOK 15 X1504VA,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-asus-vivobook-15-x1504va-i3-13e-gen-16go-512go-ssd-bleu-40_1.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i3,Intel® Core™ i3-1315U,16 Go,512Go SSD,SSD,Graphique Intégrée,Windows 11 Famille,Non,"1 209,000 DT"
BU-A2AP0EA-W11P,https://www.mytek.tn/pc-portable-hp-15-fd0053nk-i3-n305-8g-512go-ssd-silver.html,Pc Portable HP 15-fd0053nk I3-N305 8G 512Go SSD - Silver,15-fd0053nk,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-hp-15-fd0053nk-i3-n305-8g-512go-ssd-silver-o.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i3,Intel® Core™ i3-N305,8 Go,512Go SSD,SSD,Graphique Intégrée,Windows 11 Pro,Non,"1 209,000 DT"
BU-A2MM1EA-W11P,https://www.mytek.tn/pc-portable-hp-15-fd0052nk-i3-n305-8g-512go-ssd-silver-bleu.html,Pc Portable HP 15-fd0052nk I3-N305 8G 512Go SSD - Silver & Bleu,15-fd0052nk,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-hp-15-fd0052nk-i3-n305-8g-512go-ssd-silver-bleu-a.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i3,Intel® Core™ i3-N305,16 Go,512Go SSD,SSD,Graphique Intégrée,Windows 11 Pro,Non,"1 209,000 DT"
BU-X1504VA-NJ725-16G-W11P,https://www.mytek.tn/pc-portable-asus-vivobook-15-x1504va-i3-13e-gen-16go-512g-ssd-silver.html,PC Portable ASUS Vivobook 15 X1504VA i3 13è Gén 16Go 512G SSD - Silver,VIVOBOOK 15 X1504VA,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-asus-vivobook-15-x1504va-i3-13e-gen-16go-512g-ssd-silver.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i3,Intel® Core™ i3-1315U,16 Go,512Go SSD,SSD,Graphique Intégrée,Windows 11 Pro,Non,"1 209,000 DT"
BU-X1504VA-NJ814W-K,https://www.mytek.tn/pc-portable-asus-vivobook-15-x1504va-i3-13eme-gen-8go-512go-ssd-silver.html,PC Portable ASUS Vivobook 15 X1504VA i3 13ème Gén 8Go 512Go SSD - Silver,VIVOBOOK 15 X1504VA,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-asus-vivobook-15-x1504va-i3-13eme-gen-8go-512go-ssd-silver.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i3,Intel® Core™ i3-1315U,8 Go,512Go SSD,SSD,Graphique Intégrée,Windows 11 Famille,Non,"1 209,000 DT"
BU-X1504VA-NJ518W-K,https://www.mytek.tn/pc-portable-asus-vivobook-15-x1504va-i3-13eme-gen-8go-512go-ssd-bleu.html,PC Portable ASUS Vivobook 15 X1504VA i3 13ème Gén 8Go 512Go SSD - Bleu,VIVOBOOK 15 X1504VA,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-asus-vivobook-15-x1504va-i3-13eme-gen-8go-512go-ssd-bleu.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i3,Intel® Core™ i3-1315U,8 Go,512Go SSD,SSD,Graphique Intégrée,Windows 11 Famille,Non,"1 209,000 DT"
BU-A2AN9EA-W11P,https://www.mytek.tn/pc-portable-hp-15-fd0051nk-i3-n305-8g-512go-ssd-silver-or-chaud.html,Pc Portable HP 15-fd0051nk I3-N305 8G 512Go SSD - Silver & Or Chaud,15-fd0051nk,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-hp-15-fd0051nk-i3-n305-8g-512go-ssd-silver-or-chaud.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i3,Intel® Core™ i3-N305,8 Go,512Go SSD,SSD,Graphique Intégrée,Windows 11 Pro,Non,"1 209,000 DT"
VOSTRO-3530-I3-512SSD-16G,https://www.mytek.tn/pc-portable-dell-vostro-3530-i3-13eme-gen-16go-512go-ssd-noir.html,Pc Portable DELL Vostro 3530 i3 13ème Gén 16Go 512Go SSD - Noir,VOSTRO 3530,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-dell-vostro-3530-i3-13eme-gen-16go-512go-ssd-noir-j.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i3,Intel® Core™ i3-1305U,16 Go,512Go SSD,SSD,Graphique Intégrée,FreeDos,Non,"1 215,000 DT"
BU-X1504VA-NJ814W-16G-S,https://www.mytek.tn/pc-portable-asus-vivobook-15-x1504va-i3-13e-gen-16g-512go-ssd.html,PC Portable ASUS Vivobook 15 X1504VA i3 13è Gén 16G 512Go SSD,VIVOBOOK 15 X1504VA,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-asus-vivobook-15-x1504va-i3-13e-gen-16g-512go-ssd.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Core i3,Intel® Core™ i3-1315U,16 Go,512Go SSD,SSD,Graphique Intégrée,Windows 11 Famille,Non,"1 219,000 DT"
