Référence,lien,nom,Marque,image_url,boutique,Taille Ecran,Résolution,Processeur,Référence processeur,Mémoire RAM,Disque Dur,Type de disque dur,Carte Graphique,Système D’exploitation,Pc Gamer,prix
BU-X1504VA-NJ725-24G-W11P,https://www.graiet.tn/pc-portable-asus-x1504va-i3-13e-gen-24-go-ram-windows-11-silver.html,PC Portable ASUS  X1504VA – i3 13e Gén / 24 Go RAM / Windows 11 / Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-x1504va-core-i3-13e-gen-24-go-ram-windows-11-silver_6_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,24Go,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 209,00 TND"
B2502CBA-KJ1662-16G,https://www.graiet.tn/pc-portable-asus-expertbook-b2-b2502cba-i3-12e-gen-16go-512ssd-intel-uhd.html,Pc Portable ASUS EXPERTBOOK B2 | Intel i3 - 16 Go - 512 SSD - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-expertbook-b2-b2502cba-i3-12e-gen-8go-512ssd-intel-uhd-bleu_2__1_.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3-12è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 229,00 TND"
B2502CBA-KJ1662-16G-WP,https://www.graiet.tn/pc-portable-asus-expertbook-b2-b2502cba-i3-12e-gen-16go-512ssd-intel-uhd-win11.html,Pc Portable ASUS EXPERTBOOK | Intel i3 - 16 Go - 512 SSD - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-expertbook-b2-b2502cba-i3-12e-gen-8go-512ssd-intel-uhd-bleu_2__2__1.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 12é Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 249,00 TND"
X1504VA-NJ784W,https://www.graiet.tn/asus-pc-portable-ultra-3-i3-100u-8go-512ssd-win11-quiet-blue.html,Pc Portable ASUS ULTRA 3 | Intel i3 - 8 Go - 512 SSD - Bleu,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-ultra-3-100u-8go-512ssd-win11-quiet-blue_3_.webp,graiet,15.6 “,Full HD 1080p,"i3-10110U (2.10 GHz up to 4.10 GHz, 4Mo Mémoire cache, Dual-Core)",,8 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 259,00 TND"
B2502CBA-KJ1662-24G,https://www.graiet.tn/pc-portable-asus-expertbook-b2-b2502cba-i3-12e-gen-24go-512ssd-intel-uhd.html,Pc Portable ASUS EXPERTBOOK | Intel i3 - 24 Go - 512 SSD - Windows non inclus - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-expertbook-b2-b2502cba-i3-12e-gen-8go-512ssd-intel-uhd-bleu_2__1__1.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 12é Gén,,24Go,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 269,00 TND"
B2502CBA-KJ1662-24G-WP,https://www.graiet.tn/pc-portable-asus-expertbook-b2-b2502cba-i3-12e-gen-24go-512ssd-win11.html,Pc Portable ASUS EXPERTBOOK | Intel i3 - 24 Go - 512 SSD - Noir,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-asus-expertbook-b2-b2502cba-i3-12e-gen-8go-512ssd-intel-uhd-bleu_2__2__2.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 12é Gén,,24Go,512 Go SSD,,Intel HD Graphics,Windows 11,Non,"1 289,00 TND"
82VG00NXFG-2Y,https://www.graiet.tn/lenovo-pc-portable-ip-ryzen-5-7520u-16go-512ssd-win11-gris.html,Pc Portable LENOVO | AMD RYZEN 5 - 16Go - 512SSD - Gris,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-lenovo-ideapad-ryzen-5-7520u-16go-512ssd-win11-gris_1_.webp,graiet,15.6 “,Full HD 1080p,Hélio G99,,16 G,512 Go SSD,,Intel UHD Graphics,FreeDos,Non,"1 289,00 TND"
,https://www.graiet.tn/lenovo-pc-portable-ip-3-15iil05-i3-1005g1-4go-1to-uhd-graphics-noir-81wb00xtfg,LENOVO Pc Portable IP 3 15IIL05 (i3-1005G1/4GO/1To/UHD Graphics) Noir (81WB00XTFG),,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/L/E/LENOVO-Pc-Portable-IP-3-15IIL05-i3-1005G14GO1ToUHD-Graphics-Noir-81WB00XTFG.jpg,graiet,,,,,,,,,,,"1 295,00 TND"
82XQ00M7FG,https://www.graiet.tn/pc-portable-lenovo-ideapad-slim-3-i5-13e-gen-16go-512ssd-fd-sacoche.html,PC PORTABLE LENOVO IDEAPAD SLIM 3 | 16 Go - 512 SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-lenovo-ideapad-slim-3-i5-13e-gen-16go-512ssd-fd-sacoche.webp,graiet,15.6 “,Full HD 1080p,Hélio G99,,16 G,512 Go SSD,,AMD Radeon ™ Intégrée,FreeDos,Non,"1 299,00 TND"
X1504VA-NJ1000W-16G,https://www.graiet.tn/pc-portable-asus-vivobook-15-x1504va-i3-13e-gen-16go-win11-avec-sac-a-dos.html,Pc Portable ASUS VIVOBOOK 15 | Intel i3 - 16 Go - 512 SSD - Silver,,https://www.graiet.tn/media/catalog/product/cache/595488aa9cf14b0e44a19e9859f2c227/p/c/pc-portable-vivobook-asus-15-x1504va-i3-13e-gen-8go-512ssd-win11-avec-sac-a-dos_1__1.webp,graiet,15.6 “,Full HD 1080p,Intel Core i3 13è Gén,,16 G,512 Go SSD,,Intel UHD Graphics,Windows 11,Non,"1 299,00 TND"
