id,lien,nom,Marque,image_url,boutique,Taille Ecran,Type Ecran,Processeur,Réf processeur,Mémoire,Disque Dur,Type de disque dur,Carte Graphique,Système d'exploitation,Gamer,prix
9U186EA-32,https://www.tunisianet.com.tn/pc-portable-tunisie/74411-pc-portable-gamer-hp-victus-gaming-15-fb0026nk-ryzen-7-5800h-rtx-3050-4g-32-go-512-go-ssd-windows-11.html,Pc Portable Gamer HP Victus Gaming 15-fb0026nk / Ryzen 7 5800H / RTX 3050 4G / 32 Go /  512 Go SSD / Windows 11,,https://www.tunisianet.com.tn/364142-home/pc-portable-gamer-hp-victus-gaming-15-fb0026nk-ryzen-7-5800h-rtx-3050-4g-32-go-512-go-ssd-windows-11.jpg,tunisianet,"14"" - 15.6""",Full HD,AMD Ryzen 7,"AMD Ryzen 7-5800H, Up To 4.4 Ghz, 16 Mo Total Cache",32 Go,512 Go SSD,,Nvidia GeForce,Windows 11,,"2 581,000 DT"
83LK006VFG-2Y-32,https://www.tunisianet.com.tn/pc-portable-tunisie/83165-pc-portable-gamer-lenovo-loq-15iax9e-i5-12450hx-rtx-3050-6g-32-go-ddr5-512-go-ssd-windows-11-gris-.html,PC Portable Gamer Lenovo LOQ 15IAX9E / i5-12450HX / RTX 3050 6G / 32 Go DDR5 / 512 Go SSD / Windows 11 / Gris,,https://www.tunisianet.com.tn/414722-home/pc-portable-gamer-lenovo-loq-15iax9e-i5-12450hx-rtx-3050-6g-32-go-ddr5-512-go-ssd-windows-11-gris-.jpg,tunisianet,"14"" - 15.6""",Full HD,Intel Core i5 | Intel Core 5,"Intel Core i5-12450HX, Octa-Core(3.1GHz Up To 4.4GH)",32 Go,512 Go SSD,,Nvidia GeForce,Windows 11,,"2 609,000 DT"
V3607VJ-RP086-32,https://www.tunisianet.com.tn/pc-portable-tunisie/84457-pc-portable-gamer-asus-v16-v3607vj-intel-core-5-210h-rtx-3050-6g-32-go-ddr5-512-go-ssd-noir.html,Pc Portable Gamer ASUS V16 V3607VJ / Intel Core 5 210H / RTX 3050 6G / 32 Go DDR5 / 512 Go SSD / Noir,,https://www.tunisianet.com.tn/420840-home/pc-portable-gamer-asus-v16-v3607vj-intel-core-5-210h-rtx-3050-6g-32-go-ddr5-512-go-ssd-noir.jpg,tunisianet,"16""",WUXGA,Intel Core i5 | Intel Core 5,"Intel Core 5 210H, (jusqu’à 4.8 GHz, 12 Mo de mémoire cache)",32 Go,512 Go SSD,,Nvidia GeForce,FreeDos,,"2 609,000 DT"
21JN008VFE-2Y-24,https://www.tunisianet.com.tn/pc-portable-tunisie/85147-pc-portable-lenovo-thinkpad-e16-gen-1-i5-1335u-24-go-512-go-ssd-noir.html,Pc Portable Lenovo ThinkPad E16 Gen 1 / i5-1335U / 24 Go / 512 Go SSD / Noir,,https://www.tunisianet.com.tn/424292-home/pc-portable-lenovo-thinkpad-e16-gen-1-i5-1335u-24-go-512-go-ssd-noir.jpg,tunisianet,"16""",WUXGA,Intel Core i5 | Intel Core 5,"Intel Core i5-1335U (4.60 GH, 12 Mo de mémoire cache)",24 Go,512 Go SSD,,Graphique Intégrée,FreeDos,,"2 609,000 DT"
G15-5530I5-3Y-W11P,https://www.tunisianet.com.tn/pc-portable-tunisie/81178-pc-portable-gamer-dell-g15-5530-i5-13450hx-rtx-3050-6g-16-go-512-go-ssd-windows-11-pro-noir.html,Pc Portable Gamer Dell G15 5530 / i5-13450HX / RTX 3050 6G / 16 Go / 512 Go SSD / Windows 11 Pro / Noir,,https://www.tunisianet.com.tn/403894-home/pc-portable-gamer-dell-g15-5530-i5-13450hx-rtx-3050-6g-16-go-512-go-ssd-windows-11-pro-noir.jpg,tunisianet,"14"" - 15.6""",Full HD,Intel Core i5 | Intel Core 5,"Intel Core i5-13450HX (3,40  GHz up to 4,60 Ghz , 20 Mo de mémoire cache)",16 Go,512 Go SSD,,Nvidia GeForce,Windows 11,,"2 609,000 DT"
B5602CVA-MB0545-24,https://www.tunisianet.com.tn/pc-portable-tunisie/78816-pc-portable-asus-expertbook-b5-b5602cva-i5-1340p-24-go-ddr5-512-go-ssd-noir.html,Pc Portable ASUS ExpertBook B5 B5602CVA / i5-1340P / 24 Go DDR5 / 512 Go SSD / Noir,,https://www.tunisianet.com.tn/391755-home/pc-portable-asus-expertbook-b5-b5602cva-i5-1340p-24-go-ddr5-512-go-ssd-noir.jpg,tunisianet,"16""",WUXGA,Intel Core i5 | Intel Core 5,"Intel Core i5-1340P (4.6GH, 12 Mo de mémoire cache)",24 Go,,,Graphique Intégrée,FreeDos,Non,"2 615,000 DT"
G15-5530I5-3Y-24,https://www.tunisianet.com.tn/pc-portable-tunisie/80274-pc-portable-gamer-dell-g15-5530-i5-13450hx-rtx-3050-6g-24-go-512-go-ssd-noir.html,Pc Portable Gamer Dell G15 5530 / i5-13450HX / RTX 3050 6G / 24 Go / 512 Go SSD / Noir,,https://www.tunisianet.com.tn/399463-home/pc-portable-gamer-dell-g15-5530-i5-13450hx-rtx-3050-6g-24-go-512-go-ssd-noir.jpg,tunisianet,"14"" - 15.6""",Full HD,Intel Core i5 | Intel Core 5,"Intel Core i5-13450HX (3,40  GHz up to 4,60 Ghz , 20 Mo de mémoire cache)",24 Go,512 Go SSD,,Nvidia GeForce,FreeDos,,"2 619,000 DT"
82WU0098FG-2Y,https://www.tunisianet.com.tn/pc-portable-tunisie/71485-pc-portable-lenovo-yoga-mince-6-14iap8-i5-1240p-8-go-512-go-ssd-gris-windows-11.html,PC Portable Lenovo Yoga mince 6 14IAP8 / i5-1240P / 8 Go / 512 Go SSD / Gris / Windows 11,,https://www.tunisianet.com.tn/388047-home/pc-portable-lenovo-yoga-mince-6-14iap8-i5-1240p-8-go-512-go-ssd-gris-windows-11.jpg,tunisianet,"14""",WUXGA,Intel Core i5 | Intel Core 5,"Intel Core i5-1240P, up to 4.4 Ghz , 12 Mo de mémoire cache",8 Go,512 Go SSD,,Graphique Intégrée,Windows 11,,"2 625,000 DT"
B77BBEA,https://www.tunisianet.com.tn/pc-portable-tunisie/85507-pc-portable-gamer-hp-victus-15-fb2001nk-ryzen-7-8845hs-rtx-3050-6g-8-go-ddr5-512-go-ssd-windows-11-silver.html,Pc Portable Gamer HP VICTUS 15-fb2001nk / Ryzen 7 8845HS / RTX 3050 6G / 8  Go DDR5 / 512 Go SSD / Windows 11 / Silver,,https://www.tunisianet.com.tn/426685-home/pc-portable-gamer-hp-victus-15-fb2001nk-ryzen-7-8845hs-rtx-3050-6g-8-go-ddr5-512-go-ssd-windows-11-silver.jpg,tunisianet,"14"" - 15.6""",Full HD,AMD Ryzen 7,"AMD Ryzen 7 8845HS, (jusqu’à 5.1 GHz, 24 Mo de mémoire cache)",8 Go,512 Go SSD,,Nvidia GeForce,Windows 11,,"2 639,000 DT"
AG2M2EA,https://www.tunisianet.com.tn/pc-portable-tunisie/85506-pc-portable-gamer-hp-victus-16-r1004nk-i5-14450hx-rtx-3050-6g-16-go-ddr5-512-go-ssd-windows-11-noir.html,Pc Portable Gamer HP VICTUS 16-R1004nk / i5-14450HX / RTX 3050 6G / 16 Go DDR5 / 512 Go SSD / Windows 11 / Noir,,https://www.tunisianet.com.tn/426669-home/pc-portable-gamer-hp-victus-16-r1004nk-i5-14450hx-rtx-3050-6g-16-go-ddr5-512-go-ssd-windows-11-noir.jpg,tunisianet,"16""",Full HD,Intel Core i5 | Intel Core 5,"Intel Core i5-14450HX 14ème génération, (jusqu’à 4.8 GHz, 20 Mo de mémoire cache)",16 Go,512 Go SSD,,Nvidia GeForce,Windows 11,,"2 639,000 DT"
MGN63FN/A,https://www.tunisianet.com.tn/pc-portable-tunisie/53745-pc-portable-apple-macbook-air-m1-133-8-go-256-go-ssd-gris-sideral.html,"PC Portable Apple MacBook Air M1 13.3"" / 8 Go / 256 Go SSD / Gris sidéral",,https://www.tunisianet.com.tn/231150-home/pc-portable-apple-macbook-air-m1-133-8-go-256-go-ssd-gris-sideral.jpg,tunisianet,"13.3""",QHD,Apple M1,Apple M1 (CPU 8 coeurs / GPU 8 coeurs / Neural Engine 16 coeurs),8 Go,256 Go SSD,,,macOS Big Sur,Non,"2 649,000 DT"
G15-5530I5-3Y-32,https://www.tunisianet.com.tn/pc-portable-tunisie/80275-pc-portable-gamer-dell-g15-5530-i5-13450hx-rtx-3050-6g-32-go-512-go-ssd-noir.html,Pc Portable Gamer Dell G15 5530 / i5-13450HX / RTX 3050 6G / 32 Go / 512 Go SSD / Noir,,https://www.tunisianet.com.tn/399469-home/pc-portable-gamer-dell-g15-5530-i5-13450hx-rtx-3050-6g-32-go-512-go-ssd-noir.jpg,tunisianet,"14"" - 15.6""",Full HD,Intel Core i5 | Intel Core 5,"Intel Core i5-13450HX (3,40  GHz up to 4,60 Ghz , 20 Mo de mémoire cache)",32 Go,512 Go SSD,,Nvidia GeForce,FreeDos,,"2 649,000 DT"
21MS0013FE-2Y,https://www.tunisianet.com.tn/pc-portable-tunisie/78010-pc-portable-lenovo-thinkbook-16-g7-iml-ultra-7-155h-8-go-ddr5-gris-avec-sac-a-dos-offert.html,Pc Portable Lenovo ThinkBook 16 G7 IML / Ultra 7 155H / 8 Go DDR5 / Gris Avec Sac à Dos Offert,,https://www.tunisianet.com.tn/385544-home/pc-portable-lenovo-thinkbook-16-g7-iml-ultra-7-155h-8-go-ddr5-gris-avec-sac-a-dos-offert.jpg,tunisianet,"16""",WUXGA,Intel Core Ultra 7,"Processeur Intel Core Ultra 7 155H, (jusqu’à 4.8 GHz, 24 Mo de mémoire cache)",8 Go,512 Go SSD,,Graphique Intégrée,FreeDos,,"2 649,000 DT"
B5602CVA-MB0545-32,https://www.tunisianet.com.tn/pc-portable-tunisie/83009-pc-portable-asus-expertbook-b5-b5602cva-i5-1340p-32-go-ddr5-512-go-ssd-noir.html,Pc Portable ASUS ExpertBook B5 B5602CVA / i5-1340P / 32 Go DDR5 / 512 Go SSD / Noir,,https://www.tunisianet.com.tn/413597-home/pc-portable-asus-expertbook-b5-b5602cva-i5-1340p-32-go-ddr5-512-go-ssd-noir.jpg,tunisianet,"16""",WUXGA,Intel Core i5 | Intel Core 5,"Intel Core i5-1340P (4.6GH, 12 Mo de mémoire cache)",32 Go,,,Graphique Intégrée,FreeDos,Non,"2 655,000 DT"
82XX00ALFG-2Y,https://www.tunisianet.com.tn/pc-portable-tunisie/73736-pc-portable-lenovo-ideapad-flex-5-14abr8-ryzen-7-7730u-16-go-512-go-ssd-windows-11-gris.html,Pc Portable Lenovo IdeaPad Flex 5 14ABR8 / Ryzen 7 7730U / 16 Go / 512 Go SSD / Windows 11 / Gris,,https://www.tunisianet.com.tn/388054-home/pc-portable-lenovo-ideapad-flex-5-14abr8-ryzen-7-7730u-16-go-512-go-ssd-windows-11-gris.jpg,tunisianet,"14""",WUXGA,AMD Ryzen 7,"AMD Ryzen 7 7730U (Up to 4.5 GH, 20 Mo de mémoire cache)",16 Go,512 Go SSD,,AMD Radeon,Windows 11,,"2 659,000 DT"
V3607VJ-RP086-32-W11P,https://www.tunisianet.com.tn/pc-portable-tunisie/85949-pc-portable-gamer-asus-v16-v3607vj-intel-core-5-210h-rtx-3050-6g-32-go-ddr5-512-go-ssd-windows-11-pro-noir.html,Pc Portable Gamer ASUS V16 V3607VJ / Intel Core 5 210H / RTX 3050 6G / 32 Go DDR5 / 512 Go SSD / Windows 11 Pro / Noir,,https://www.tunisianet.com.tn/429171-home/pc-portable-gamer-asus-v16-v3607vj-intel-core-5-210h-rtx-3050-6g-32-go-ddr5-512-go-ssd-windows-11-pro-noir.jpg,tunisianet,"16""",WUXGA,Intel Core i5 | Intel Core 5,"Intel Core 5 210H, (jusqu’à 4.8 GHz, 12 Mo de mémoire cache)",32 Go,512 Go SSD,,Nvidia GeForce,Windows 11,,"2 669,000 DT"
