reference,lien,nom,Marque,image_url,boutique,Taille De L'ecran Pc,Résolution écran,Processeur,reference Processeur,Memoire RAM,CAPACITÉ DE DISQUE,Type de disque dur,Carte Graphique,Systeme D'exploitation,Gamer,prix
82VG00NYFG,https://agora.tn/fr/pc-portable/16134-pc-portable-lenovo-ideapad-1-15amn7-amd-athlon-8go-256go-ssd-gris.html,PC PORTABLE LENOVO IDEAPAD 1 15AMN7 AMD ATHLON 8GO 256GO SSD GRIS,,https://agora.tn/fr/45131-home_default/pc-portable-lenovo-ideapad-1-15amn7-amd-athlon-8go-256go-ssd-gris.jpg,agora,"15.6""",,AMD Athlon,,8 Go,256 Go SSD,,AMD Radeon,Windows,Non,"789,000 TND"
82XQ00DMFG,https://agora.tn/fr/pc-portable/15346-pc-portable-lenovo-ideapad-slim-3-amd-ryzen-3-8go-256go-ssd.html,PC PORTABLE LENOVO IDEAPAD SLIM 3 AMD RYZEN 3 8GO 256GO SSD,,https://agora.tn/fr/43322-home_default/pc-portable-lenovo-ideapad-slim-3-amd-ryzen-3-8go-256go-ssd.jpg,agora,"15.6""",,AMD RYZEN 3,,8 Go,256 Go SSD,,AMD Radeon,Windows,Non,"899,000 TND"
N5360PVNB3520EMEA0,https://agora.tn/fr/pc-portable/15371-pc-portable-dell-vostro-3520-i3-1215u-8go-512go-ssd-noir.html,PC PORTABLE DELL VOSTRO 3520 I3-1215U 8GO 512GO SSD NOIR,,https://agora.tn/fr/43282-home_default/pc-portable-dell-vostro-3520-i3-1215u-8go-512go-ssd-noir.jpg,agora,"15.6""",,Intel Core i3,,8 Go,512 Go SSD,,Graphique Intégrée,Windows,Non,"999,000 TND"
82X7009RFG,https://agora.tn/fr/pc-portable/15643-pc-portable-lenovo-ideapad-slim-3-i3-1305u-8go-256go-ssd-gris.html,PC PORTABLE LENOVO IDEAPAD SLIM 3 I3-1305U 8GO 256GO SSD GRIS,,https://agora.tn/fr/43802-home_default/pc-portable-lenovo-ideapad-slim-3-i3-1305u-8go-256go-ssd-gris.jpg,agora,"15.6""",,Intel Core i3,,8 Go,256 Go SSD,,Graphique Intégrée,FreeDos,Non,"1 029,000 TND"
V3520-I3-512SSD,https://agora.tn/fr/pc-portable/16179-pc-portable-dell-vostro-3520-i3-1215u-8go-512go-ssd-noir.html,PC PORTABLE DELL VOSTRO 3520 I3-1215U 8GO 512GO SSD NOIR,,https://agora.tn/fr/45329-home_default/pc-portable-dell-vostro-3520-i3-1215u-8go-512go-ssd-noir.jpg,agora,"15.6""",,Intel Core i3,,8 Go,512 Go SSD,,Nvidia GeForce,Ubuntu,Non,"1 039,000 TND"
X1504VA-NJ519W,https://agora.tn/fr/pc-portable/15384-pc-portable-asus-vivobook-15-x1504va-i3-1315u-4go-256go-ssd-bleu.html,PC PORTABLE ASUS VIVOBOOK 15 X1504VA I3-1315U 4GO 256GO SSD BLEU,,https://agora.tn/fr/43266-home_default/pc-portable-asus-vivobook-15-x1504va-i3-1315u-4go-256go-ssd-bleu.jpg,agora,"15.6""",,Intel Core i3,,4 Go,256 Go SSD,,Graphique Intégrée,Windows 11,Non,"1 045,000 TND"
X1504VA-NJ520W-8G,https://agora.tn/fr/pc-portable/16089-pc-portable-asus-vivobook-15-x1504va-i3-1315u-8go-256go-ssd-silver.html,PC PORTABLE ASUS VIVOBOOK 15 X1504VA I3-1315U 8GO 256GO SSD SILVER,,https://agora.tn/fr/44977-home_default/pc-portable-asus-vivobook-15-x1504va-i3-1315u-8go-256go-ssd-silver.jpg,agora,"15.6""",,Intel Core i3,,8 Go,256 Go SSD,,Graphique Intégrée,Windows,Non,"1 065,000 TND"
X1504VA-NJ520W-12G,https://agora.tn/fr/pc-portable/16176-pc-portable-asus-vivobook-15-x1504va-i3-1315u-12go-256go-silver.html,PC PORTABLE ASUS VIVOBOOK 15 X1504VA I3-1315U 12GO 256GO SILVER,,https://agora.tn/fr/45317-home_default/pc-portable-asus-vivobook-15-x1504va-i3-1315u-12go-256go-silver.jpg,agora,"15.6""",,Intel Core i3,,12 Go,256 Go SSD,,Graphique Intégrée,Windows,Non,"1 089,000 TND"
82RK017AFG,https://agora.tn/fr/pc-portable/16136-pc-portable-lenovo-ideapad-3-15iau7-i3-1215u-8go-512go-ssd-bleu.html,PC PORTABLE LENOVO IDEAPAD 3 15IAU7 I3-1215U 8GO 512GO SSD BLEU,,https://agora.tn/fr/45116-home_default/pc-portable-lenovo-ideapad-3-15iau7-i3-1215u-8go-512go-ssd-bleu.jpg,agora,"15.6""",,Intel Core i3,,8 Go,512 Go SSD,,Graphique Intégrée,windows 11 famille,Non,"1 099,000 TND"
82RK016YFG,https://agora.tn/fr/pc-portable/16081-pc-portable-lenovo-ideapad-3-15iau7-i3-1215u-8go-512go-ssd-gris.html,PC PORTABLE LENOVO IDEAPAD 3 15IAU7 I3-1215U 8GO 512GO SSD GRIS,,https://agora.tn/fr/45297-home_default/pc-portable-lenovo-ideapad-3-15iau7-i3-1215u-8go-512go-ssd-gris.jpg,agora,"15.6""",,Intel Core i3,,8 Go,512 Go SSD,,Graphique Intégrée,FreeDos,Non,"1 099,000 TND"
X1504VA-NJ480W,https://agora.tn/fr/pc-portable/16130-pc-portable-asus-vivobook-15-x1504va-i3-1315u-8go-256-ssd-bleu.html,PC PORTABLE ASUS VIVOBOOK 15 X1504VA I3-1315U 8GO 256 SSD BLEU,,https://agora.tn/fr/45144-home_default/pc-portable-asus-vivobook-15-x1504va-i3-1315u-8go-256-ssd-bleu.jpg,agora,"15.6""",,Intel Core i3,,8 Go,250GO SSD,,Graphique Intégrée,windows 11 famille,Non,"1 109,000 TND"
N1612PVNB3530-UBU,https://agora.tn/fr/pc-portable/16509-pc-portable-dell-vostro-3530-i3-1305u-8go-256go-ssd-noir.html,PC PORTABLE DELL VOSTRO 3530 I3-1305U 8GO 256GO SSD NOIR,,https://agora.tn/fr/45817-home_default/pc-portable-dell-vostro-3530-i3-1305u-8go-256go-ssd-noir.jpg,agora,"15.6""",,Intel Core i3,,8 Go,256 Go SSD,,Graphique Intégrée,FreeDos,Non,"1 129,000 TND"
