Référence,lien,nom,Marque,image_url,boutique,Taille de l'écran,Résolution écran,Processeur,Référence processeur,Mémoire,Disque dur,Type de disque dur,Carte graphique,Système d'exploitation,Gamer,prix
WARMLK2_N15BCLR_2500_1102_UBU,https://batam.com.tn/pc-dell-insp-r7-16-1tb-ssd-43008073.html,Pc Portable DELL Inspiron 15 3535 AMD RYZEN 7 16Go 1To SSD - Noir,DELL,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43008073.7_2_.jpg,Batam,"15,6''",1920 x 1080,AMD Ryzen 7,AMD Ryzen™ 7 7730U,16 Go,1 To SSD,SSD,AMD Radeon,Ubunto,Non,"1 779,000 DT"
A76C2EA,https://batam.com.tn/hp-r7-16-512-w11-nsilverradeon-43008046.html,PC Portable HP 15-fc0053nk Ryzen 7 16 Go 512Go SSD - Silver,HP,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43008046.png,Batam,"15,6''",,AMD Ryzen 7,AMD Ryzen™ 7 7730U,16 Go,512GO,SSD,Graphique Intégrée,Windows 11 Famille,Non,"1 869,000 DT"
V3520-I7-512SSD,https://batam.com.tn/dell-i7-1255u-15-6-8go-512go-43006836.html,Pc Portable DELL Vostro 3520 i7 12ème Gén 8Go 512Go SSD,DELL,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43006836_1.jpg,Batam,"15,6''",1920 x 1080,Intel Core i7,Intel® Core™ i7-1255U,8 Go,512GO,SSD,Graphique Intégrée,FreeDos,Non,"1 899,000 DT"
A0DB5EA,https://batam.com.tn/hp-i5-8-512g-mx570a-2gb-w11h6-43006994.html,PC Portable HP 15-fd0046nk i5 13è Gén 8Go 512Go SSD - Silver & Or Chaud,HP,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43006994_1.jpg,Batam,"15,6''",1920 x 1080,Intel Core i5,Intel® Core™ i5-1334U,8 Go,512GO,SSD,Nvidia GeForce,Windows 11 Famille,Non,"1 939,000 DT"
82QD00FYFG,https://batam.com.tn/82qd00fyfg-lenovo-i7-8-512g-sa-43006696.html,PC Portable LENOVO IdeaPad 1 15IAU7 i7 12è Gén 8Go 512Go SSD - Bleu + Sacoche Gratuite,LENOVO,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43006696_3.jpg,Batam,"15,6''",1920 x 1080,Intel Core i7,Intel® Core™ i7-1255U,8 Go,512GO,SSD,Graphique Intégrée,FreeDos,Non,"1 969,000 DT"
AB1T5EA,https://batam.com.tn/hp-i5-8-512ssd-mx570-silver-43008044.html,PC Portable HP 15-fd0079nk i5 13è Gén 8Go 512Go SSD - Silver,HP,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43008044.jpg,Batam,"15,6''",1920 x 1080,Intel Core i5,Intel® Core™ i5-1334U,8 Go,512GO,SSD,Nvidia GeForce,FreeDos,Non,"1 999,000 DT"
AB1T6EA,https://batam.com.tn/hp-core-i5-8-512-2g-mx570-noir-43008045.html,PC Portable HP 15-fd0080nk i5 13è Gén 8Go 512Go SSD - Noir,HP,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43008045.jpg,Batam,"15,6''",1920 x 1080,Intel Core i5,Intel® Core™ i5-1334U,8 Go,512GO,SSD,Nvidia GeForce,FreeDos,Non,"1 999,000 DT"
B1402CVA-NK2615,https://batam.com.tn/experbook-asus-i5-16-512-14p-43007797.html,Pc Portable Asus Expertbook B1402 i5 13Gén 16Go 512Go SSD,ASUS,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43007797.jpg,Batam,14'',,Intel Core i5,,16 Go,512GO,SSD,Graphique Intégrée,FreeDos,Non,"1 999,000 DT"
X1502VA-NJ563W,https://batam.com.tn/asus-i7-8-512-win-11-bleu-43007679.html,Pc Portable Asus VivoBook 15X1502VA I7 13È Gén 8Go 512Go SSD – Bleu- X1502VA-NJ563W,ASUS,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43007679.jpg,Batam,"15,6''",,Intel Core i5,,8 Go,512GO,SSD,Intel® HD Graphics,Windows 11 Famille,Non,"1 999,000 DT"
X1502VA-NJ233W,https://batam.com.tn/asusi7-13700hddr4-8-512g-w11sl-43005859.html,PC Portable ASUS Vivobook 15 X1502VA i7 13è Gén 8Go 512Go SSD - Silver,ASUS,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43005859.1.jpg,Batam,"15,6''",1920 x 1080,Intel Core i7,,8 Go,512GO,SSD,Graphique Intégrée,Windows 11,Non,"1 999,000 DT"
A0DB5EA,https://batam.com.tn/hp-i5-8-512-w11-mx570-gold-43008043.html,PC Portable HP 15-fd0046nk i5 13è Gén 8Go 512Go SSD - Silver & Or Chaud,HP,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43008043.jpg,Batam,"15,6''",1920 x 1080,Intel Core i5,Intel® Core™ i5-1334U,8 Go,512GO,SSD,Nvidia GeForce,Windows 11 Famille,Non,"2 019,000 DT"
83EM00GNFG/TN,https://batam.com.tn/lenovo-i7-16-512g-dos-grey-43007653.html,PC Portable LENOVO IdeaPad Slim 3 15IRH8 i7 13è Gén 16Go 512G SSD - Gris,LENOVO,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43007653.jpg,Batam,"15,6''",1920 x 1080,Intel Core i7,Intel® Core™ i7-13620H,16 Go,512GO,SSD,Graphique Intégrée,FreeDos,Non,"2 019,000 DT"
83EM008XFG,https://batam.com.tn/pc-lenovo-i7-16-512g-sa-gry-43007308.html,PC Portable LENOVO IdeaPad Slim 3 15IRH8 i7 13è Gén 16Go 512Go SSD - Gris,LENOVO,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43007308.jpg,Batam,"15,6''",1920 x 1080,Intel Core i7,Intel® Core™ i7-13620H,16 Go,512GO,SSD,Graphique Intégrée,FreeDos,Non,"2 019,000 DT"
X1502VA-NJ654W,https://batam.com.tn/asus-i7-8-512-win-11-silver-43007670.html,PC Portable ASUS Vivobook 15 X1502VA i7 13è Gén 8G 512Go SSD - Silver,ASUS,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43007670.jpg,Batam,"15,6''",1920 x 1080,Intel Core i7,Intel® Core™ i7-13620H,8 Go,512GO,SSD,Graphique Intégrée,Windows 11 Famille,Non,"2 099,000 DT"
N1601PVNB3530_UBU,https://batam.com.tn/pc-dell-3530-core-i7-8-512-43007811.html,Pc Portable Dell Vostro 3530 i7 13Gén 8Go 512Go SSD Ubuntu,DELL,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43007811.jpg,Batam,"15,6''",1920 x 1080,Intel Core i7,Intel Core i7-1335U,8 Go,512GO,SSD,Graphique Intégrée,Ubunto,Non,"2 165,000 DT"
X1502VA-NJ257W,https://batam.com.tn/asusi9-13900h-ddr4-8-512gw11si-43005860.html,PC Portable ASUS Vivobook 15 X1502VA i9 13è Gén 8Go 512Go SSD - Silver + Sacoche Gratuite,ASUS,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43005860.1_1.jpg,Batam,"15,6''",1920 x 1080,Intel Core i9,Processeur Intel Core I9-13900H,8 Go,512GO,SSD,Graphique Intégrée,Windows 11 Famille,Non,"2 175,000 DT"
A2AQ2EA,https://batam.com.tn/pc-hp-i7-8g-512-a2aq2ea-silver-43006564.html,PC Portable HP 15-fd0286nk i7 13è Gén 8Go 512Go SSD - Silver + Sacoche Gratuite,HP,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43006564_2.jpg,Batam,"15,6''",1920 x 1080,Intel Core i7,Intel® Core™ i7-1355U,8 Go,512GO,SSD,Graphique Intégrée,FreeDos,Non,"2 249,000 DT"
845L4EA,https://batam.com.tn/hp-pavilionx360-14-i5-8-512w11-43008049.html,PC Portable HP Pavilion x360 2-in-1 14-ek1001nk i5 13è Gén 8Go 512Go SSD - Silver,HP,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43008049.jpg,Batam,14'',1920 x 1080,Intel Core i5,Intel® Core™ i5-1335U,8 Go,512GO,SSD,Graphique Intégrée,Windows 11 Famille,Non,"2 399,000 DT"
X1504VA-NJ929W,https://batam.com.tn/asus-u7-8g-512-win-11-silver-43007321.html,Pc Portable Asus X1504VA-NJ929W U7 8G 512Go Ssd Silver,ASUS,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43007321_1_1.jpg,Batam,"15,6''",,U7,,8 Go,512GO,SSD,,Windows 11,Non,"2 399,000 DT"
7J0G9EA,https://batam.com.tn/hp-14s-i7-8-512-w11n-silver-43008048.html,PC Portable HP 14s-dq5005nk i7 12Gén 8Go 512Go SSD - Silver,HP,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43008048.jpg,Batam,14'',1920 x 1080,Intel Core i7,Intel® Core™ i7-1255U,8 Go,512GO,SSD,Graphique Intégrée,Windows 11 Famille,Non,"2 499,000 DT"
886L6EA,https://batam.com.tn/hp-envyx360-i5-16g-touch-43008051.html,PC Portable HP ENVY x360 2-in-1 15-fe0003nk i5 13è Gén 16Go 512Go SSD - Silver,HP,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43008051.jpg,Batam,"15,6''",1920 x 1080,Intel Core i5,Intel® Core™ i5-1335U,16 Go,512GO,SSD,Graphique Intégrée,Windows 11 Famille,Non,"3 289,000 DT"
AY2T5EA,https://batam.com.tn/hp-envyx36014-u5-16-1t-w11-blu-43008050.html,PC Portable HP ENVY x360 2-in-1 14-fc0004nk Ultra 5 125U 16Go 1To SSD - Bleu,HP,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43008050.jpg,Batam,14'',1920 x 1080,Intel Core Ultra 5,Intel® Core™ Ultra 5 125U,16 Go,1 To SSD,SSD,Graphique Intégrée,Windows 11 Famille,Non,"3 299,000 DT"
UX5401EA-KP114T,https://batam.com.tn/asus-i7-14-16-512g-w10grey-43005023.html,Pc portable ASUS Zenbook 14X  i7 11è Gén 16 Go 512 Go _Gris,ASUS,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43005023_1.jpg,Batam,14'',,Intel Core i7,,16 Go,512GO,SSD,Graphique Intégrée,Windows 10,Non,"3 679,000 DT"
845J9EA,https://batam.com.tn/hp-envyx360-i7-16-512-touch-w-43008052.html,PC Portable HP ENVY x360 2-in-1 15-fe0001nk i7 13è Gén 16Go 512Go SSD - Silver,HP,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43008052.jpg,Batam,"15,6''",1920 x 1080,Intel Core i7,Intel® Core™ i7-1355U,16 Go,512GO,SSD,Graphique Intégrée,Windows 11 Famille,Non,"3 799,000 DT"
MRXN3FN/A,https://batam.com.tn/macbook-air-8-256gb-space-43006902.html,APPLE MacBook Air M3 8Go 256Go SSD - Gris Sidéral,APPLE,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43006902_1_1.jpg,Batam,"13.6""",2560 x 1664,Apple M3,Apple M3,8 Go,256GO,SSD,Graphique Intégrée,MacOS,Non,"4 589,000 DT"
MRXQ3FN/A,https://batam.com.tn/macbook-air-8-256gb-silver-43006903.html,APPLE MacBook Air M3 8Go 256Go SSD - Silver,APPLE,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43006903_1_1.jpg,Batam,"13.6""",2560 x 1664,Apple M3,Apple M3,8 Go,256GO,SSD,Graphique Intégrée,MacOS,Non,"4 589,000 DT"
MRXV3FN/A,https://batam.com.tn/macbook-air-8gb-256-midnight-43006904.html,APPLE MacBook Air M3 8Go 256Go SSD - Minuit,APPLE,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43006904_1_1.jpg,Batam,"13.6""",2560 x 1664,Apple M3,Apple M3,8 Go,256GO,SSD,Graphique Intégrée,MacOS,Non,"4 589,000 DT"
MC8K4FN-A,https://batam.com.tn/macbook-airm3-16g-256g-midnigt-43007333.html,APPLE MacBook Air M3 16Go 256Go SSD - Midnight,APPLE,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43007333.jpg,Batam,"13.6""",2560 x 1664,Apple M3,Apple M3,16 Go,256GO,SSD,,MacOS,Non,"4 769,000 DT"
MC8G4FN-A,https://batam.com.tn/macbook-airm3-16g-256g-grey-43007334.html,APPLE MacBook Air M3 16Go 256Go SSD -Gris sidéral,APPLE,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43007334.jpg,Batam,"13.6""",2560 x 1664,Apple M3,Apple M3,16 Go,256GO,SSD,,MacOS,Non,"4 769,000 DT"
MC8H4FN-A,https://batam.com.tn/macbook-airm3-16g-256g-silver-43007335.html,APPLE MacBook Air M3 16Go 256Go SSD -Silver,APPLE,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43007335.jpg,Batam,"13.6""",2560 x 1664,Apple M3,Apple M3,16 Go,256GO,SSD,,MacOS,Non,"4 769,000 DT"
MC8J4FN-A,https://batam.com.tn/macbook-airm3-16-256-starlit-43007336.html,APPLE MacBook Air M3 16Go 256Go SSD -Starlight,APPLE,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43007336.jpg,Batam,"13.6""",2560 x 1664,Apple M3,Apple M3,16 Go,256GO,SSD,,MacOS,Non,"4 769,000 DT"
