reference,link,name,brand,image_url,store,screen_size,processor,ram,SSD,HDD,gpu,os,gamer,price
845B2EA-24,https://www.tunisianet.com.tn/pc-portable-tunisie/73145-pc-portable-gamer-hp-victus-gaming-15-fa1003nk-i5-13500h-rtx-3050-6g-24-go-ddr4-512-go-ssd-windows-11-noir.html,Pc Portable Gamer HP Victus Gaming 15-fa1003nk / i5-13500H / RTX 3050 6G / 24 Go DDR4 / 512 Go SSD / Windows 11 / Noir,Hp,https://www.tunisianet.com.tn/357157-home/pc-portable-gamer-hp-victus-gaming-15-fa1003nk-i5-13500h-rtx-3050-6g-24-go-ddr4-512-go-ssd-windows-11-noir.jpg,tunisianet,14.0,Intel Core i5,24,512,0,Nvidia GeForce,Windows,1,2519.0
B13UCX-2606XFR-24W11P,https://www.tunisianet.com.tn/pc-portable-tunisie/81104-pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-24-go-512-go-ssd-windows-11-pro-gris-cosmos-sac-a-dos-msi-offert.html,Pc Portable Gamer MSI Thin 15 B13U / i7-13620H / RTX 2050 4G / 24 Go / 512 Go SSD / Windows 11 Pro / Gris Cosmos Sac à dos MSI Offert Avec Antivirus Bitdefender Internet Security / 1 Poste / 1 an,Msi,https://www.tunisianet.com.tn/431558-home/pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-24-go-512-go-ssd-windows-11-pro-gris-cosmos-sac-a-dos-msi-offert.jpg,tunisianet,14.0,Intel Core i7,24,512,0,Nvidia GeForce,Windows,1,2519.0
B13UCX-2606XFR-32-SSW11P,https://www.tunisianet.com.tn/pc-portable-tunisie/81107-pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-32-go-512-go-ssd-windows-11-pro-gris-cosmos.html,Pc Portable Gamer MSI Thin 15 B13U / i7-13620H / RTX 2050 4G / 32 Go / 512 Go SSD / Windows 11 Pro / Gris Cosmos Avec Antivirus Bitdefender Internet Security / 1 Poste / 1 an,Msi,https://www.tunisianet.com.tn/431559-home/pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-32-go-512-go-ssd-windows-11-pro-gris-cosmos.jpg,tunisianet,14.0,Intel Core i7,32,512,0,Nvidia GeForce,Windows,1,2524.0
B13UCX-2606XFR-24-W,https://www.tunisianet.com.tn/pc-portable-tunisie/81096-pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-24-go-512-go-ssd-windows-11-pro-gris-cosmos-sac-a-dos-msi-offert.html,Pc Portable Gamer MSI Thin 15 B13U / i7-13620H / RTX 2050 4G / 24 Go / 512 Go SSD / Windows 11 Pro / Gris Cosmos Sac à dos MSI Offert Avec Antivirus Bitdefender Internet Security / 1 Poste / 1 an,Msi,https://www.tunisianet.com.tn/431560-home/pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-24-go-512-go-ssd-windows-11-pro-gris-cosmos-sac-a-dos-msi-offert.jpg,tunisianet,14.0,Intel Core i7,24,512,0,Nvidia GeForce,Windows,1,2525.0
B13UCX-2605XFR-24,https://www.tunisianet.com.tn/pc-portable-tunisie/79821-pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-3050-4g-24-go-512-go-ssd-gris-cosmos.html,Pc Portable Gamer MSI Thin 15 B13U / i5-13420H / RTX 3050 4G / 24 Go / 512 Go SSD / Gris Cosmos,Msi,https://www.tunisianet.com.tn/397305-home/pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-3050-4g-24-go-512-go-ssd-gris-cosmos.jpg,tunisianet,14.0,Intel Core i5,24,512,0,Nvidia GeForce,FreeDos,1,2525.0
6U8W2EA-32,https://www.tunisianet.com.tn/pc-portable-tunisie/60162-pc-portable-hp-victus-15-fb0020nk-ryzen-5-5600h-32-go-rtx-3050-4g.html,Pc portable HP Victus 15-fb0020nk / Ryzen 5 5600H / 32 Go / RTX 3050 4G Avec Antivirus Bitdefender Internet Security / 1 Poste / 1 an,Hp,https://www.tunisianet.com.tn/431561-home/pc-portable-hp-victus-15-fb0020nk-ryzen-5-5600h-32-go-rtx-3050-4g.jpg,tunisianet,14.0,AMD Ryzen 5,32,512,0,Nvidia GeForce,Windows,0,2525.0
9G2L4ET-2Y,https://www.tunisianet.com.tn/pc-portable-tunisie/79622-pc-portable-hp-probook-440-g10-i5-1335u-8-go-512-go-ssd-argent.html,Pc Portable HP ProBook 440 G10 / i5-1335U / 8 Go / 512 Go SSD / Argent,Hp,https://www.tunisianet.com.tn/396160-home/pc-portable-hp-probook-440-g10-i5-1335u-8-go-512-go-ssd-argent.jpg,tunisianet,14.0,Intel Core i5,8,512,0,Integrated Graphics,FreeDos,0,2529.0
9U186EA-24,https://www.tunisianet.com.tn/pc-portable-tunisie/74410-pc-portable-gamer-hp-victus-gaming-15-fb0026nk-ryzen-7-5800h-rtx-3050-4g-24-go-512-go-ssd-windows-11.html,Pc Portable Gamer HP Victus Gaming 15-fb0026nk / Ryzen 7 5800H / RTX 3050 4G / 24 Go /  512 Go SSD / Windows 11,Hp,https://www.tunisianet.com.tn/364137-home/pc-portable-gamer-hp-victus-gaming-15-fb0026nk-ryzen-7-5800h-rtx-3050-4g-24-go-512-go-ssd-windows-11.jpg,tunisianet,14.0,AMD Ryzen 7,24,512,0,Nvidia GeForce,Windows,1,2538.0
TP3402VA-LZ265W-16,https://www.tunisianet.com.tn/pc-portable-tunisie/74089-pc-portable-asus-vivobook-s-14-flip-tp3402va-i5-13500h-16-go-windows-11-silver.html,Pc Portable ASUS Vivobook S 14 Flip TP3402VA / i5-13500H / 16 Go / Windows 11 / Silver,Asus,https://www.tunisianet.com.tn/362258-home/pc-portable-asus-vivobook-s-14-flip-tp3402va-i5-13500h-16-go-windows-11-silver.jpg,tunisianet,14.0,Intel Core i5,16,0,0,Integrated Graphics,Windows,0,2549.0
G15-5530I5-3Y,https://www.tunisianet.com.tn/pc-portable-tunisie/80209-pc-portable-gamer-dell-g15-5530-i5-13450hx-rtx-3050-6g-16-go-512-go-ssd-noir.html,Pc Portable Gamer Dell G15 5530 / i5-13450HX / RTX 3050 6G / 16 Go / 512 Go SSD / Noir,Dell,https://www.tunisianet.com.tn/399086-home/pc-portable-gamer-dell-g15-5530-i5-13450hx-rtx-3050-6g-16-go-512-go-ssd-noir.jpg,tunisianet,14.0,Intel Core i5,16,512,0,Nvidia GeForce,FreeDos,1,2549.0
PRM-G15-5530I5-3Y,https://www.tunisianet.com.tn/pc-portable-tunisie/81171-pc-portable-gamer-dell-g15-5530-i5-13450hx-rtx-3050-6g-16-go-512-go-ssd-noir.html,Pc Portable Gamer Dell G15 5530 / i5-13450HX / RTX 3050 6G / 16 Go / 512 Go SSD / Noir + Cadeau Offert,Dell,https://www.tunisianet.com.tn/403854-home/pc-portable-gamer-dell-g15-5530-i5-13450hx-rtx-3050-6g-16-go-512-go-ssd-noir.jpg,tunisianet,14.0,Intel Core i5,16,512,0,Nvidia GeForce,FreeDos,1,2559.0
