reference,link,name,brand,image_url,store,screen_size,processor,ram,disk_capacity,gpu,os,gamer,price
X1704VA-AU154W-12,https://spacenet.tn/pc-portable-asus/87106-pc-portable-asus-vivobook-17-x1704va-i5-13gen-12go-512go-ssd-bleu.html,PC Portable ASUS Vivobook 17 X1704VA i5 13Gén 12Go 512Go SSD Bleu,Asus,https://spacenet.tn/267548-home_default/pc-portable-asus-vivobook-17-x1704va-i5-13gen-12go-512go-ssd-bleu.jpg,SpaceNet,17.3,Intel Core i5,12,512 Go SSD,Intel UHD,Windows 11,Non,1989.0
NX.EGHEF.006-20,https://spacenet.tn/pc-portable-tunisie/81874-pc-portable-acer-extensa-15-i7-11eme-20go-512go-ssd-windows-11-pro.html,Pc Portable Acer Extensa 15 i7 11éme 20Go 512Go SSD Windows 11 Pro,Acer,https://spacenet.tn/246924-home_default/pc-portable-acer-extensa-15-i7-11eme-20go-512go-ssd-windows-11-pro.jpg,SpaceNet,15.6,Intel Core i7,20,512 Go SSD,"NVIDIA GeForce MX350, 2Go de mémoire dédiée",Windows 11 Pro,Non,1989.0
X1502VA-NJ233W,https://spacenet.tn/pc-portable-asus/67539-pc-portable-asus-vivobook-15-x1502va-i7-13gen-8go-512go-ssd-silver.html,Pc Portable Asus VivoBook 15 X1502VA i7 13Gén 8Go 512Go SSD Silver,Asus,https://spacenet.tn/181556-home_default/pc-portable-asus-vivobook-15-x1502va-i7-13gen-8go-512go-ssd-silver.jpg,SpaceNet,15.6,Intel Core i7,8,512 Go SSD,Intel Iris Xe,Windows 11,Non,1999.0
32M74EA,https://spacenet.tn/pc-portables-pro-tunisie/42272-pc-portable-hp-probook-440-g8-i5-11gen-4go-256go-gris-32m74ea.html,Pc Portable HP ProBook 440 G8 i5 11Gén 4Go 256Go Gris (32M74EA),Hp,https://spacenet.tn/98006-home_default/pc-portable-hp-probook-440-g8-i5-11gen-4go-256go-gris-32m74ea.jpg,SpaceNet,14.0,Intel Core i5,4,256 Go SSD,Intel Iris Xe,Free Dos,Non,1999.0
A0DB5EA-16,https://spacenet.tn/pc-portable-hp/79673-pc-portable-hp-15-fd0046nk-i5-13gen-16go-512go-ssd-windows-11.html,Pc Portable HP 15-fd0046nk i5 13Gen 16Go 512Go SSD Windows 11,Hp,https://spacenet.tn/236291-home_default/pc-portable-hp-15-fd0046nk-i5-13gen-16go-512go-ssd-windows-11.jpg,SpaceNet,15.6,Intel Core i5,16,512 Go SSD,Nvidia GeForce MX570 (2 Go DDR6 dédiés),Windows 11,Non,1999.0
NX.VPXEF.004,https://spacenet.tn/pc-portable-tunisie/81877-pc-portable-acer-travelmate-p2-i5-11gen-8go-512go-ssd-windows-11-pro.html,Pc Portable Acer TravelMate P2 i5 11Gén 8Go 512Go SSD Windows 11 Pro,Acer,https://spacenet.tn/246940-home_default/pc-portable-acer-travelmate-p2-i5-11gen-8go-512go-ssd-windows-11-pro.jpg,SpaceNet,15.6,Intel Core i5,8,512 Go SSD,"NVIDIA GeForce MX330, 2 Go de mémoire dédiée",Windows 11 Pro,Non,1999.0
82QD00FYFG-16-W11,https://spacenet.tn/pc-portable-tunisie/84845-pc-portable-lenovo-ideapad-1-15iau7-i7-12gen-16go-512go-ssd-w11.html,Pc Portable Lenovo IdeaPad 1 15IAU7 i7 12Gén 16Go 512Go SSD W11,Lenovo,https://spacenet.tn/255641-home_default/pc-portable-lenovo-ideapad-1-15iau7-i7-12gen-16go-512go-ssd-w11.jpg,SpaceNet,15.6,Intel Core i7,16,512 Go SSD,Intel Iris Xe,Windows 11 Pro,Non,1999.0
B1402CVA-NK2615,https://spacenet.tn/pc-portable-asus/79624-pc-portable-asus-expertbook-b1402-i5-13gen-16go-512go-ssd.html,Pc Portable Asus Expertbook B1402 i5 13Gén 16Go 512Go SSD,Asus,https://spacenet.tn/236058-home_default/pc-portable-asus-expertbook-b1402-i5-13gen-16go-512go-ssd.jpg,SpaceNet,14.0,Intel Core i5,16,512 Go SSD,Intel UHD,Free Dos,Non,1999.0
N8068VN3510EMEA01,https://spacenet.tn/pc-portable-tunisie/55142-pc-portable-dell-vostro-3510-i7-11gen-8go-512go-ssd-noir.html,Pc Portable Dell Vostro 3510 i7 11Gén 8Go 512Go SSD Noir,Dell,https://spacenet.tn/131283-home_default/pc-portable-dell-vostro-3510-i7-11gen-8go-512go-ssd-noir.jpg,SpaceNet,15.6,Intel Core i7,8,512 Go SSD,Intel Iris Xe,Free Dos,Non,1999.0
NX.EGHEF.00F-24,https://spacenet.tn/pc-portable-tunisie/81862-pc-portable-acer-extensa-15-i7-11gen-24go-512go-ssd-windows-11-pro.html,Pc Portable Acer Extensa 15 i7 11Gén 24Go 512Go SSD Windows 11 Pro,Acer,https://spacenet.tn/246851-home_default/pc-portable-acer-extensa-15-i7-11gen-24go-512go-ssd-windows-11-pro.jpg,SpaceNet,15.6,Intel Core i7,24,512 Go SSD,"NVIDIA GeForce MX350, 2Go de mémoire dédiée",Windows 11 Pro,Non,1999.0
