reference,link,name,brand,image_url,store,screen_size,processor,ram,disk_capacity,gpu,os,gamer,price
B1502CVA-NJ1267-2Y,https://www.tunisianet.com.tn/pc-portable-tunisie/78435-pc-portable-asus-expertbook-b1-b1502cva-i7-1355u-8-go-512-go-ssd-noir-avec-sacoche.html,Pc Portable ASUS ExpertBook B1 B1502CVA / i7-1355U / 8 Go / 512 Go SSD / Noir Avec Sacoche,,https://www.tunisianet.com.tn/393304-home/pc-portable-asus-expertbook-b1-b1502cva-i7-1355u-8-go-512-go-ssd-noir-avec-sacoche.jpg,tunisianet,"14"" - 15.6""",Intel Core i7 | Intel Core 7,8 Go,,Graphique Intégrée,FreeDos,Non,"2 175,000 DT"
X1502VA-NJ256W,https://www.tunisianet.com.tn/pc-portable-tunisie/73112-pc-portable-asus-vivobook-15-x1502va-i9-13900h-8-go-512-go-ssd-windows-11-noir.html,Pc Portable ASUS VivoBook 15 X1502VA / i9-13900H / 8 Go / 512 Go SSD / Windows 11 / Bleu,,https://www.tunisianet.com.tn/356921-home/pc-portable-asus-vivobook-15-x1502va-i9-13900h-8-go-512-go-ssd-windows-11-noir.jpg,tunisianet,"14"" - 15.6""",Intel Core i9,8 Go,512 Go SSD,Graphique Intégrée,FreeDos,,"2 175,000 DT"
S3605ZF-RP770,https://www.tunisianet.com.tn/pc-portable-tunisie/83931-pc-portable-asus-vivobook-16x-s3605zf-i5-12500h-8-go-512-go-silver-avec-sac-a-dos-asus.html,Pc Portable ASUS Vivobook 16X S3605ZF / i5-12500H / 8 Go / 512 Go / Silver Avec Sac à DOS ASUS,,https://www.tunisianet.com.tn/418506-home/pc-portable-asus-vivobook-16x-s3605zf-i5-12500h-8-go-512-go-silver-avec-sac-a-dos-asus.jpg,tunisianet,"16""",Intel Core i7 | Intel Core 7,8 Go,512 Go SSD,Nvidia GeForce,FreeDos,,"2 175,000 DT"
X1502VA-NJ257W,https://www.tunisianet.com.tn/pc-portable-tunisie/71325-pc-portable-asus-vivobook-15-x1502va-i9-13e-gen-8-go-win11-silver.html,Pc Portable Asus VivoBook 15 X1502VA / i9 13è Gén / 8 Go / Win11 / Silver,,https://www.tunisianet.com.tn/346111-home/pc-portable-asus-vivobook-15-x1502va-i9-13e-gen-8-go-win11-silver.jpg,tunisianet,"14"" - 15.6""",Intel Core i9,8 Go,512 Go SSD,Graphique Intégrée,Windows 11,,"2 175,000 DT"
X1502VA-NJ257W-12,https://www.tunisianet.com.tn/pc-portable-tunisie/71338-pc-portable-asus-vivobook-15-x1502va-i9-13e-gen-12-go-win11-silver.html,Pc Portable Asus VivoBook 15 X1502VA / i9 13è Gén / 12 Go / Win11 / Silver,,https://www.tunisianet.com.tn/346153-home/pc-portable-asus-vivobook-15-x1502va-i9-13e-gen-12-go-win11-silver.jpg,tunisianet,"14"" - 15.6""",Intel Core i9,12 Go,512 Go SSD,Graphique Intégrée,Windows 11,,"2 175,000 DT"
X1502VA-NJ256W-12,https://www.tunisianet.com.tn/pc-portable-tunisie/73201-pc-portable-asus-vivobook-15-x1502va-i9-13900h-12-go-512-go-ssd-windows-11-noir.html,Pc Portable ASUS VivoBook 15 X1502VA / i9-13900H / 12 Go / 512 Go SSD / Windows 11 / Bleu,,https://www.tunisianet.com.tn/357583-home/pc-portable-asus-vivobook-15-x1502va-i9-13900h-12-go-512-go-ssd-windows-11-noir.jpg,tunisianet,"14"" - 15.6""",Intel Core i9,12 Go,512 Go SSD,Graphique Intégrée,FreeDos,,"2 175,000 DT"
B13UCX-2607XFR-24-SS,https://www.tunisianet.com.tn/pc-portable-tunisie/80006-pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-2050-4g-24-go-512-go-ssd-gris-cosmos.html,Pc Portable Gamer MSI Thin 15 B13U / i5-13420H / RTX 2050 4G / 24 Go / 512 Go SSD / Gris Cosmos,,https://www.tunisianet.com.tn/398178-home/pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-2050-4g-24-go-512-go-ssd-gris-cosmos.jpg,tunisianet,"14"" - 15.6""",Intel Core i5 | Intel Core 5,24 Go,512 Go SSD,Nvidia GeForce,FreeDos,,"2 184,000 DT"
N1601PVNB3530-UBU-32,https://www.tunisianet.com.tn/pc-portable-tunisie/80850-pc-portable-dell-vostro-3530-i7-1355u-32-go-512-go-ssd-noir.html,Pc Portable Dell Vostro 3530 / i7-1355U / 32 Go / 512 Go SSD / Noir,,https://www.tunisianet.com.tn/401849-home/pc-portable-dell-vostro-3530-i7-1355u-32-go-512-go-ssd-noir.jpg,tunisianet,"14"" - 15.6""",Intel Core i7 | Intel Core 7,32 Go,512 Go SSD,Graphique Intégrée,FreeDos,,"2 187,000 DT"
A2AQ2EA-16,https://www.tunisianet.com.tn/pc-portable-tunisie/75652-pc-portable-hp-15-fd0286nk-i7-1355u-16-go-512-go-ssd-silver.html,Pc Portable HP 15-fd0286nk / i7-1355U / 16 Go / 512 Go SSD / Silver,,https://www.tunisianet.com.tn/370779-home/pc-portable-hp-15-fd0286nk-i7-1355u-16-go-512-go-ssd-silver.jpg,tunisianet,"14"" - 15.6""",Intel Core i7 | Intel Core 7,16 Go,512 Go SSD,Graphique Intégrée,FreeDos,,"2 189,000 DT"
B13UCX-2607XFR-16,https://www.tunisianet.com.tn/pc-portable-tunisie/79814-pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-2050-4g-16-go-512-go-ssd-gris-cosmos.html,Pc Portable Gamer MSI Thin 15 B13U / i5-13420H / RTX 2050 4G / 16 Go / 512 Go SSD / Gris Cosmos Sac à dos MSI Offert,,https://www.tunisianet.com.tn/397584-home/pc-portable-gamer-msi-thin-15-b13u-i5-13420h-rtx-2050-4g-16-go-512-go-ssd-gris-cosmos.jpg,tunisianet,"14"" - 15.6""",Intel Core i5 | Intel Core 5,16 Go,512 Go SSD,Nvidia GeForce,FreeDos,,"2 199,000 DT"
21MS000DFE-2Y,https://www.tunisianet.com.tn/pc-portable-tunisie/78332-pc-portable-lenovo-thinkbook-16-g7-iml-ultra-5-125u-8-go-ddr5-gris-avec-sacoche-offerte.html,Pc Portable Lenovo ThinkBook 16 G7 IML / Ultra 5 125U / 8 Go DDR5 / Gris Avec Sacoche Offerte,,https://www.tunisianet.com.tn/387873-home/pc-portable-lenovo-thinkbook-16-g7-iml-ultra-5-125u-8-go-ddr5-gris-avec-sacoche-offerte.jpg,tunisianet,"16""",Intel Core Ultra 5,8 Go,512 Go SSD,Graphique Intégrée,FreeDos,,"2 199,000 DT"
FA506NF-HN004-24,https://www.tunisianet.com.tn/pc-portable-tunisie/84904-pc-portable-asus-tuf-gaming-a15-fa506nf-ryzen-5-7535hs-rtx-2050-4g-24-go-noir.html,PC Portable ASUS TUF Gaming A15 FA506NF / Ryzen 5 7535HS / RTX 2050 4G / 24 Go / Noir,,https://www.tunisianet.com.tn/422996-home/pc-portable-asus-tuf-gaming-a15-fa506nf-ryzen-5-7535hs-rtx-2050-4g-24-go-noir.jpg,tunisianet,"14"" - 15.6""",AMD Ryzen 5,24 Go,512 Go SSD,Nvidia GeForce,FreeDos,,"2 199,000 DT"
X1605VA-MB1636W-24,https://www.tunisianet.com.tn/pc-portable-tunisie/85234-pc-portable-asus-vivobook-16-x1605va-i7-13620h-24-go-512-go-ssd-windows-11-silver.html,Pc Portable ASUS Vivobook 16 X1605VA / i7-13620H / 24 Go / 512 Go SSD / Windows 11 / Silver,,https://www.tunisianet.com.tn/424770-home/pc-portable-asus-vivobook-16-x1605va-i7-13620h-24-go-512-go-ssd-windows-11-silver.jpg,tunisianet,"16""",Intel Core i7 | Intel Core 7,24 Go,512 Go SSD,Graphique Intégrée,Windows 11,,"2 199,000 DT"
886K4EA,https://www.tunisianet.com.tn/pc-portable-tunisie/66914-pc-portable-hp15-fd0019nk-i7-13e-gen-8-go-win11-silver.html,PC Portable HP15-FD0019NK / i7 13è Gén  / 8 Go / WIN11 / Silver,,https://www.tunisianet.com.tn/317215-home/pc-portable-hp15-fd0019nk-i7-13e-gen-8-go-win11-silver.jpg,tunisianet,,Intel Core i7 | Intel Core 7,8 Go,512 Go SSD,Graphique Intégrée,Windows 11,Non,"2 199,000 DT"
N1601PVNB3530-UBU-24W11P,https://www.tunisianet.com.tn/pc-portable-tunisie/81623-pc-portable-dell-vostro-3530-i7-1355u-24-go-512-go-ssd-noir-windows-11-pro.html,Pc Portable Dell Vostro 3530 / i7-1355U / 24 Go / 512 Go SSD / Noir / Windows 11 Pro,,https://www.tunisianet.com.tn/406252-home/pc-portable-dell-vostro-3530-i7-1355u-24-go-512-go-ssd-noir-windows-11-pro.jpg,tunisianet,"14"" - 15.6""",Intel Core i7 | Intel Core 7,24 Go,512 Go SSD,Graphique Intégrée,Windows 11,,"2 204,000 DT"
